,shortages,mismatches,youngblood,FIFO,usability,substitution,today,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_antibodies,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
323,10.0,0.341,0.615,0.739,0.541,0.483,0.181,0,0,0,0,0,0,0,0,1,1,0,1,11,1,1,16,2,14,17.0,0.0,181.911247,0.9204911433172303
324,10.0,0.551,0.845,0.411,0.795,0.073,0.907,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,10,2,9,1.0,0.0,208.16175099999998,0.9203857597209397
325,10.0,0.555,0.771,0.325,0.027,0.385,0.807,0,0,0,0,0,0,0,0,0,0,1,0,5,1,5,12,4,7,83.0,0.0,116.99004399999998,0.922138351773343
326,10.0,0.315,0.191,0.915,0.557,0.351,0.869,0,0,0,0,0,0,0,0,7,1,0,1,9,0,9,27,5,10,0.0,0.0,198.930974,0.8817269686834904
327,10.0,0.037,0.917,0.933,0.749,0.233,0.963,0,0,0,0,0,0,0,0,8,8,0,0,10,0,5,31,4,10,0.0,0.0,231.20897499999995,0.9304588283490373
328,10.0,0.965,0.201,0.053,0.723,0.097,0.115,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,9,3,7,0.0,0.0,176.886875,0.9205995543852542
329,10.0,0.629,0.443,0.297,0.403,0.685,0.811,0,0,0,0,0,0,0,0,6,3,1,1,2,0,5,18,4,8,36.0,0.0,189.93390799999995,0.8987717908082409
330,10.0,0.829,0.779,0.483,0.269,0.463,0.599,0,0,0,0,0,0,0,0,0,1,0,0,4,3,2,10,2,9,71.0,0.0,160.930384,0.8703396851698426
331,10.0,0.929,0.691,0.315,0.509,0.179,0.507,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,11,1,11,7.0,0.0,177.329833,0.8782044682384433
332,10.0,0.165,0.193,0.785,0.105,0.275,0.075,0,0,0,0,0,0,0,0,0,1,1,0,20,2,1,25,3,22,19.0,0.0,160.934863,0.862542610788049
333,10.0,0.893,0.085,0.935,0.419,0.371,0.903,0,0,0,0,0,0,0,0,1,1,0,0,10,3,0,15,1,15,23.0,0.0,171.08208199999999,0.8954415372035978
334,10.0,0.021,0.407,0.191,0.973,0.217,0.947,0,0,0,0,0,0,0,0,3,0,1,0,8,1,3,16,2,15,27.0,0.0,211.40652300000002,0.9185497124075596
335,10.0,0.463,0.379,0.771,0.079,0.265,0.187,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,8,2,7,51.0,0.0,138.757402,0.8806939231003348
336,10.0,0.025,0.411,0.489,0.365,0.719,0.919,0,0,0,0,0,0,0,0,8,1,1,0,9,1,9,29,6,10,23.0,0.0,219.965245,0.9175164058556284
337,10.0,0.783,0.433,0.807,0.897,0.673,0.375,0,0,0,0,0,0,0,0,1,0,0,0,10,5,8,24,3,10,0.0,0.0,186.447401,0.9135977337110481
338,10.0,0.349,0.671,0.843,0.907,0.841,0.985,0,0,0,0,0,0,0,0,6,0,5,0,10,1,8,30,5,10,42.0,0.0,193.17932099999996,0.9167324388318864
339,10.0,0.583,0.561,0.633,0.629,0.297,0.589,0,0,0,0,0,0,0,0,6,1,1,0,10,4,6,28,6,11,45.0,0.0,189.199727,0.8849631966351209
340,10.0,0.901,0.997,0.931,0.643,0.911,0.287,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,22,2,16,36.0,0.0,171.067937,0.866753953066774
341,10.0,0.351,0.493,0.939,0.605,0.587,0.473,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,10,2,9,12.0,0.0,188.432429,0.9166494739013823
342,10.0,0.563,0.673,0.815,0.265,0.037,0.219,0,0,0,0,0,0,0,0,2,0,0,0,9,2,4,17,2,15,1.0,0.0,167.2627,0.8661724932385054
343,10.0,0.409,0.857,0.853,0.287,0.533,0.409,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,3,29.0,0.0,171.54577899999998,0.8676001235457634
344,10.0,0.979,0.409,0.451,0.457,0.819,0.111,0,0,0,0,0,0,0,0,1,0,0,0,11,2,1,15,2,14,0.0,0.0,153.65463100000002,0.8780156657963446
345,10.0,0.063,0.831,0.279,0.327,0.339,0.335,0,0,0,0,0,0,0,0,2,2,1,0,5,2,3,15,2,13,60.0,0.0,201.42934599999998,0.9131433343772837
