,shortages,mismatches,youngblood,FIFO,usability,substitution,today,total_antibodies,max_antibodies_pp,alloimm_patients,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
400,10.0,0.11,0.3,0.76,0.68,0.82,0.48,12,1,12,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0.0,0.0,209.279928,0.9210899513776336
401,10.0,0.82,0.8,0.15,0.85,0.11,0.53,12,1,12,0,0,0,0,0,0,0,0,2,2,0,0,6,1,1,4.0,0.0,198.728355,0.8915711947626841
402,10.0,0.6,0.78,0.97,0.44,0.06,0.91,11,1,11,0,0,0,0,0,0,0,0,1,0,1,0,7,1,1,22.0,0.0,207.025025,0.8771929824561403
403,10.0,0.05,0.28,0.81,0.33,0.25,0.42,10,1,10,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,21.0,0.0,221.616743,0.9157512953367876
404,10.0,0.88,0.49,0.0,0.47,0.18,0.74,13,1,13,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,18.0,21.0,171.272536,0.9327533265097236
405,10.0,0.85,0.86,0.45,0.71,0.67,0.61,12,2,11,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,55.0,0.0,178.87257100000002,0.9009384775808134
406,10.0,0.43,0.48,0.35,0.34,0.39,0.59,11,2,9,0,0,0,0,0,0,0,0,0,0,1,1,6,2,1,22.0,0.0,176.07789099999997,0.8750650161239988
407,10.0,0.91,0.82,0.56,0.72,0.88,0.84,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,26.0,0.0,183.460148,0.8969331322272499
408,10.0,0.81,0.29,0.92,0.2,0.17,0.41,13,2,10,0,0,0,0,0,0,0,0,1,1,1,1,8,1,0,27.0,0.0,151.16454199999998,0.8491685202838682
409,10.0,0.42,0.44,0.66,0.48,0.8,0.79,14,2,13,0,0,0,0,0,0,0,0,2,0,1,0,8,2,1,11.0,0.0,190.064556,0.9016983016983016
410,10.0,0.58,0.03,0.35,0.56,0.99,0.62,12,1,12,0,0,0,0,0,0,0,0,1,0,1,0,4,4,2,1.0,0.0,180.598089,0.8937308111320195
411,10.0,0.33,0.7,0.96,0.18,0.61,0.99,9,2,7,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,27.0,0.0,170.504281,0.8609312365094048
412,10.0,0.66,0.1,0.71,0.67,0.04,0.9,15,2,13,0,0,0,0,0,0,0,0,1,1,0,0,12,0,1,6.0,0.0,210.600386,0.879345813618597
