,shortages,mismatches,youngblood,FIFO,usability,substitution,today,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S,total_antibodies,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD,subst_SCD_A,subst_SCD_B,subst_SCD_D,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S
139,100.0,0.448896,0.2064119999999999,0.7955880000000001,0.36072,0.032064,4.2084,0,0,0,0,0,0,0,0,2,0,1,1,12,1,4,21,3,16,85.0,0.0,216.45124400000003,0.8954092230992937,19,29,39,0.0,0.0,0.0,2.477189,12.468409,28.91784,4.0458240000000005,93.140536,14.479014,3.572448,19.904788,6.2998780000000005,18.532514,0.0,12.612804
140,100.0,0.503004,0.344688,0.386772,0.5751479999999999,0.316632,73.647,0,0,0,0,0,0,0,0,2,1,0,0,10,2,1,16,2,14,53.0,0.0,193.292082,0.9007323026851098,12,38,39,0.0,0.0,0.0,2.653476,11.328909,23.921152,3.750912,77.771356,14.564526,3.572976,18.234852,6.192038,18.483465,0.0,12.81842
141,100.0,0.989976,0.326652,0.585168,0.773544,0.404808,98.5968,0,0,0,0,0,0,0,0,1,1,1,0,4,2,2,11,2,10,84.0,0.0,190.762611,0.9071810928189072,19,27,39,0.0,0.0,0.0,2.739072,11.650248,22.976896,4.0519680000000005,74.86278,13.785756,3.5750880000000005,19.540374,6.071392,18.499481,0.0,13.009556
142,100.0,0.278556,0.356712,0.5631240000000001,0.136272,0.084168,128.3562,0,0,0,0,0,0,0,0,1,0,0,0,13,0,3,17,2,16,0.0,0.0,197.76417100000003,0.8851833249623305,20,27,41,0.0,0.0,0.0,2.672837,11.898659,22.740832,4.00896,78.862072,15.02568,3.768864,20.329348,6.649684,18.713695,0.0,13.09354
143,100.0,0.7515,0.088176,0.74148,0.603204,0.987972,61.623000000000005,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,9,1,9,3.0,0.0,195.7176,0.9138266298229456,22,30,40,0.0,0.0,0.0,2.840972,11.406395000000002,27.73752,3.806208,74.961936,14.527878,3.681216000000001,18.62757,6.353798,18.745727,0.0,13.02838
144,100.0,0.022044,0.517032,0.182364,0.6372720000000001,0.839676,146.9934,0,0,0,0,0,0,0,0,0,0,1,1,6,0,3,11,1,11,0.0,0.0,240.99206,0.9431818181818182,6,32,38,0.0,0.0,0.0,2.913321,12.682635,47.055424,4.104192,99.916196,14.056035,3.444144,19.86587,6.022864,18.549531,0.0,12.381848
145,100.0,0.382764,0.6753480000000001,0.84168,0.72144,0.312624,143.0856,0,0,0,0,0,0,0,0,1,1,0,0,5,1,2,10,1,10,46.0,0.0,208.06779099999997,0.947069943289225,18,23,37,0.0,0.0,0.0,2.827725,12.837607000000002,26.930968,4.380672,84.67922399999999,14.485122,3.739296,20.039232,6.471748,18.747729,0.0,12.928468
146,100.0,0.2945879999999999,0.653304,0.539076,0.667332,0.154308,29.1582,0,0,0,0,0,0,0,0,2,0,0,0,6,1,1,10,2,9,0.0,0.0,202.585319,0.9180100880229451,20,32,38,0.0,0.0,0.0,3.033563,12.122001,26.734248,4.227072,78.99427999999999,15.074544,3.807408,20.580546,6.353798,18.605587,0.0,13.052272
147,100.0,0.5911799999999999,0.537072,0.849696,0.24048,0.258516,3.3066,0,0,0,0,0,0,0,0,1,0,1,2,13,2,2,21,4,17,41.0,0.0,179.59794400000004,0.8596634370219276,16,31,38,0.0,0.0,0.0,2.664685,11.75964,19.298232,3.938304,64.748868,15.044004,3.671712,19.763268,6.5041,18.921903,0.0,13.283228
148,100.0,0.002004,0.5450880000000001,0.619236,0.607212,0.1442879999999999,105.5106,0,0,0,0,0,0,0,0,4,0,0,0,6,1,2,13,2,11,58.0,0.0,265.533015,0.9447496302556518,13,26,39,0.0,0.0,0.0,3.074323,13.612467,48.353776,4.457472,117.433756,14.860764,3.687552,22.912088,6.121268,18.619601,0.0,12.399948
149,100.0,0.7474919999999999,0.2885759999999999,0.1863719999999999,0.513024,0.959916,98.2962,0,0,0,0,0,0,0,0,2,0,1,0,11,0,2,16,2,14,22.0,0.0,189.023238,0.8951194184839044,26,27,39,0.0,0.0,0.0,2.977518,11.317514,21.678544,4.399104,76.0196,14.315625,3.606768,16.996552,6.333578,18.349331,0.0,13.029104
150,100.0,0.116232,0.262524,0.394788,0.8156279999999999,0.657312,90.7812,0,0,0,0,0,0,0,0,2,1,1,0,7,3,0,14,2,13,66.0,0.0,212.749067,0.9582988410596026,14,32,38,0.0,0.0,0.0,3.010126,12.247346,31.593232,4.322304,85.208056,14.396556,3.70128,20.82113,6.2432620000000005,18.549531,0.0,12.656244
