,shortages,mismatches,FIFO,usability,substitution,today,total_antibodies,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S,total_alloimm_risk,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,subst_SCD_A,subst_SCD_B,subst_SCD_D,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S
419,100.0,0.6024048096192385,0.9771543086172344,0.1138276553106212,0.2084168336673346,57.75771543086172,17,0.0,0.0,0.0,2.633096,11.50895,12.314672,4.297728,55.85788,14.775252,3.745104,18.312688,6.755502,18.731713,0.0,13.170284,162.10286899999997,2,13,45.0,0.0,14,20,39,0,0,0,0,0,0,0,0,2,0,0,0,6,3,6
420,100.0,0.512625250501002,0.0633266533066132,0.1927855711422845,0.0120240480961923,84.78476953907816,11,0.0,0.0,0.0,2.001316,13.553213,31.829296,4.3868160000000005,107.022376,13.553652,3.229776,17.063774,5.794378,18.487469,0.0,12.161752,229.083818,1,11,36.0,0.0,16,26,37,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2
421,100.0,0.8332665330661324,0.3431863727454909,0.1595190380761523,0.5651302605210421,14.51442885771543,18,0.0,0.0,0.0,2.501645,11.178495000000002,11.586808,3.85536,46.76858,14.259126,3.5096160000000003,16.837342,6.13677,18.740722,0.0,13.271644,148.64610799999997,1,18,27.0,0.0,23,24,40,0,0,0,0,0,0,0,0,0,0,0,0,13,2,3
422,100.0,0.7098196392785572,0.3127254509018036,0.0168336673346693,0.4308617234468938,62.76272545090181,12,0.0,0.0,0.0,2.244857,9.688029,1.6721199999999998,4.058112,12.427552,13.523112,3.3792000000000004,15.652112,6.125986,18.59858,0.0,13.493188,100.862848,2,11,0.0,0.0,19,33,40,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1
423,100.0,0.7579158316633268,0.5526052104208417,0.1503006012024048,0.3587174348697395,12.312224448897796,11,0.0,0.0,0.0,2.820592,11.096451000000002,14.655639999999998,4.405248,54.899372,14.975289,3.5692800000000005,18.899996,6.537126,18.843825,0.0,13.120328,163.82314700000003,2,10,0.0,0.0,24,30,38,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3
424,100.0,0.8765531062124248,0.3660320641282565,0.082565130260521,0.0180360721442885,44.94488977955912,13,0.0,0.0,0.0,2.304978,12.627939,16.367103999999998,3.852288,59.956328,14.286612,3.389232,17.371579999999998,6.088242,18.487469,0.0,12.318136,167.04990800000004,2,12,4.0,0.0,10,29,37,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0
425,100.0,0.4292585170340681,0.685871743486974,0.169939879759519,0.5130260521042084,22.722645290581163,17,0.0,0.0,0.0,2.852181,11.730013,19.553968,4.107264,67.657444,15.011937,3.604656,19.1052,6.58161,18.662644,0.0,13.041412,181.90832900000004,2,16,31.0,0.0,18,26,41,0,0,0,0,0,0,0,0,1,0,0,1,11,3,1
426,100.0,0.9054108216432866,0.5316633266533065,0.1543086172344689,0.9899799599198396,6.506412825651301,12,0.0,0.0,0.0,2.623925,10.975664000000002,10.42616,3.944448,54.106124,14.144601,3.5555520000000005,17.619239999999998,6.489946,18.740722,0.0,13.145668,155.77205,2,11,56.0,0.0,5,30,37,0,0,0,0,0,0,0,0,1,1,0,0,7,1,2
427,100.0,0.733867735470942,0.3831663326653307,0.1851703406813627,0.4448897795591182,9.909819639278556,7,0.0,0.0,0.0,2.697293,11.171658,18.117912,4.27008,56.651128,14.645457,3.547632,17.622778,6.468378,18.66865,0.0,13.068924,166.92989000000003,1,7,12.0,0.0,20,29,37,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
428,100.0,0.3843687374749499,0.46312625250501,0.0745490981963927,0.0200400801603206,28.32825651302605,11,0.0,0.0,0.0,2.418087,13.086018,20.242488,4.205568,73.441544,14.813427,3.597792,19.533298,6.396934,18.541523,0.0,12.698236,188.974915,2,10,33.0,0.0,13,32,40,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1
